skc_id,newin_date
3GC3010110010,2018-8-16
3GC3010980090,2018-8-16
3GC3010980530,2018-8-16
3GC3040010000,2018-8-16
3GC3040010090,2018-8-16
3GC3040010410,2018-8-16
3GC3040010520,2018-8-16
3GC3040070000,2018-8-16
3GC3040070090,2018-8-16
3GC3040070520,2018-8-16
3GC3040080000,2018-8-16
3GC3040080090,2018-8-16
3GC3040080119,2018-8-16
3GC3040100018,2018-8-16
3GC3040120842,2018-8-16
3GC3040920000,2018-8-16
3GC3040920090,2018-8-16
3GC3040970090,2018-8-16
3GC3040970120,2018-8-16
3GC3041020090,2018-8-16
3GC3041020600,2018-8-16
3GC3041120090,2018-8-16
3GC3041120650,2018-8-16
3GC3060130000,2018-8-16
3GC3060140120,2018-8-16
3GC3060960090,2018-8-16
3GC3060960120,2018-8-16
3GC3061010090,2018-8-16
3GC3061010530,2018-8-16
3GE3016070120,2018-8-16
3GC3026750000,2018-8-2
3GC3026750090,2018-8-2
3GC3046770090,2018-8-2
3GC3060040090,2018-8-2
3GC3060040590,2018-8-2
3GC3060900090,2018-8-2
3GE3042410090,2018-8-2
3GE3042410601,2018-8-2
3GE3042470090,2018-8-2
3GE3062440090,2018-8-2
3GC3060900521,2018-8-2
3GA3518010090,2018-7-19
3GA3518020018,2018-7-19
3GA3518030090,2018-7-19
3GA3518090018,2018-7-19
3GA3518160018,2018-7-19
3GA3518160090,2018-7-19
3GA3518200090,2018-7-19
3GA3518210090,2018-7-19
3GA3528010090,2018-7-19
3GA3528030090,2018-7-19
3GA3528040090,2018-7-19
3GA3528040510,2018-7-19
3GA3528080090,2018-7-19
3GA3558010090,2018-7-19
3GA3558010120,2018-7-19
3GA3558030018,2018-7-19
3GA3558030090,2018-7-19
3GA3558040018,2018-7-19
3GA3558040090,2018-7-19
3GA3558050090,2018-7-19
3GA3568010532,2018-7-19
3GA3568010650,2018-7-19
3GA3568020018,2018-7-19
3GA3568020090,2018-7-19
3GA3568020110,2018-7-19
3GA3568020531,2018-7-19
3GA3568030018,2018-7-19
3GA3568030090,2018-7-19
3GA3568040018,2018-7-19
3GA3568040090,2018-7-19
3GA3518060090,2018-7-5
3GA3518100090,2018-7-5
3GA3518120018,2018-7-5
3GA3518120090,2018-7-5
3GA3518170018,2018-7-5
3GA3518170090,2018-7-5
3GA3518180018,2018-7-5
3GA3518190018,2018-7-5
3GA3518190090,2018-7-5
3GA3518220090,2018-7-5
3GA3518250090,2018-7-5
3GA3518260090,2018-7-5
3GA3518280090,2018-7-5
3GA3518290090,2018-7-5
3GA3528020090,2018-7-5
3GA3528060090,2018-7-5
3GC3010850910,2018-7-5
3GC3012220000,2018-7-5
3GC3012220090,2018-7-5
3GC3016370000,2018-7-5
3GC3016370090,2018-7-5
3GC3020060000,2018-7-5
3GC3020060090,2018-7-5
3GC3020860090,2018-7-5
3GC3021680090,2018-7-5
3GC3022240000,2018-7-5
3GC3022240090,2018-7-5
3GC3022240120,2018-7-5
3GC3022240730,2018-7-5
3GC3023910000,2018-7-5
